Modele;Type;Fabricant;LONG_NAME;SHORT_NAME;SERIAL_NUMBER;ASSET_ID;ASSET_TAG;asset_number;Nom_de_la_salle;Reperage_ID_origin;Reperage_ID;End_Move_Target;STATUS_hpe;salle_Dest;Rack_U_Dest;olivier_index;PROJET_Responsable;A_FAIRE_VALIDER;Valide_O_N;AUTRE_PROPOSITION_ou_CONFIRMER;Termine_Oui_Non;Index_CC;from_source;status_CMDB;status_position_cmdb;status_asset_id;status_position;status_name;status_etat;status_global;status_etat_hpe;status_spec;status_cc;status_cc_2;status_cc_3;CMDB_Servers_Status;CMDB_Servers_Owner;Hauteur_U
QRadar Log Manager 1628;Serveurs;IBM;PSYCHO4;PSYCHO4;7873021;M-0000737420;AF208722;AF208722;P1;AD30:Slot 24;AD30:Slot 24;Balai P1;6sigma Hpe;P3;W18:Slot 34;P1AD30:Slot 24;2-Exit P1/P2;Eric Tormos;Non;P4_RN_DMZ_TYPE3_RJ45_Patch_Rack_AB21 Slot 2-3;;P1AD30:Slot 24;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
Prime NAM 2304;Serveurs;Cisco;SDC2P101;SDC2P101;FCH1643V0TZ;M-0000856311;0;0;P1;AD30:Slot 27;AD30:Slot 27;Balai Stock;6sigma Hpe;;;P1AD30:Slot 27;2-Exit P1/P2;Cecile Pialot;oui;;;P1AD30:Slot 27;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;1.0
Nexus 5672UP;Switchs (Commutateurs);Cisco;SWC2P131;SWC2P131;FOC1910R4BM;M-0000698498;AF209782;AF209782;P1;AD30:Slot 29;AD30:Slot 29;Balai Stock;6sigma Hpe;;;P1AD30:Slot 29;2-Exit P1/P2;Cecile Pialot;Oui;;;P1AD30:Slot 29;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;1.0
Nexus 5672UP;Switchs (Commutateurs);Cisco;SWC2P130;SWC2P130;FOC1910R4BK;M-0000698497;AF209783;AF209783;P1;AD30:Slot 30;AD30:Slot 30;Balai Stock;6sigma Hpe;;;P1AD30:Slot 30;2-Exit P1/P2;Cecile Pialot;Oui;;;P1AD30:Slot 30;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
Nexus 5672UP;Switchs (Commutateurs);Cisco;SWC2P117;SWC2P117;FOC1816R2EC;M-0000654589;AF209282;AF209282;P1;AD30:Slot 32;AD30:Slot 32;Balai Stock;6sigma Hpe;;;P1AD30:Slot 32;2-Exit P1/P2;Cecile Pialot;Oui;;;P1AD30:Slot 32;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;1.0
Nexus 5672UP;Switchs (Commutateurs);Cisco;SWC2P116;SWC2P116;FOC1816R2CA;M-0000654588;AF209281;AF209281;P1;AD30:Slot 33;AD30:Slot 33;Balai Stock;6sigma Hpe;;;P1AD30:Slot 33;2-Exit P1/P2;Cecile Pialot;Oui;;;P1AD30:Slot 33;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
Nexus 5548P Switch;Switchs (Commutateurs);Cisco;SWC2P127-FEX102;SWC2P127-FEX102;SSI151906FV;M-0000531467;AF208447;AF208447;P1;AD30:Slot 35;AD30:Slot 35;Balai Stock;6sigma Hpe;;;P1AD30:Slot 35;2-Exit P1/P2;Cecile Pialot;Oui;;;P1AD30:Slot 35;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;1.0
Nexus 5548P Switch;Switchs (Commutateurs);Cisco;SWC2P126-FEX102;SWC2P126-FEX102;SSI151906GL;M-0000531465;AF208446;AF208446;P1;AD30:Slot 36;AD30:Slot 36;Balai Stock;6sigma Hpe;;;P1AD30:Slot 36;2-Exit P1/P2;Cecile Pialot;Oui;;;P1AD30:Slot 36;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
Virtual Storage Platform DKC F710L-DECO;Serveurs;Hitachi;;0;0;M-0000731315;0;0;P1;50813-1:Slot 01;AF14:Slot 01;Balai Clean;6sigma Hpe;;;P1AF14:Slot 01;2-Exit P1/P2;Fabrice Guermeur;oui;Ok validé par Eric T;;P1AF14:Slot 01;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;13.0
Virtual Storage Platform DKC F710L-DECO;Serveurs;Hitachi;;0;0;M-0000731315;0;0;P1;50813-1:Slot 15;AF14:Slot 15;Balai Clean;6sigma Hpe;;;P1AF14:Slot 15;2-Exit P1/P2;Fabrice Guermeur;oui;Ok validé par Eric T;;P1AF14:Slot 15;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;13.0
