Type d'équipement ;Is Loading Bay Item ;Zone spécifique du quai de chargement ;Nom ;Numéro d'asset ;Fabricant ;Modèle ;Nom de la salle ;Nom de baie ;Slot U ;Nom du châssis ;Module Slot ;Type ;Autre type ;SHORT_NAME ;SERIAL NUMBER ;End_Move_Target ;ASSET_TAG ;ASSET_ID ;Equipement approximé ;Type de puissance ;Puissance nominale (kW);Puissance typique (kW);Puissance spécifiée par l'utilisateur (kW);Facteur de charge (%);Puissance en entrée (kW);Type de phase ;Statut de l'équipement ;Nombre de cordons ;Nombre de cordons connectés ;Nombre de cordons actifs ;Nombre de cordons requis ;Onduleurs (UPS) ;Cordon électrique 1 PDU ;Cordon électrique 1 Prise de courant ;Cordon électrique 1 Socket Circuit ;Cordon électrique 2 PDU ;Cordon électrique 2 Prise de courant ;Cordon électrique 1 Alimentation électrique ;Cordon électrique 1 Type de prise ;Cordon électrique 3 PDU ;Cordon électrique 3 Prise de courant ;Cordon électrique 2 Socket Circuit ;Cordon électrique 1 Disjoncteur ;Cordon électrique 1 Socket Phase ;Cordon électrique 4 PDU ;Cordon électrique 4 Prise de courant ;Cordon électrique 2 Type de prise ;Cordon électrique 2 Alimentation électrique ;Cordon électrique 2 Disjoncteur ;Cordon électrique 2 Socket Phase ;Etat d'installation ;Date d'installation (dd/mm/yyyy);Cordon électrique 3 Alimentation électrique ;Cordon électrique 3 Disjoncteur ;Date de décommissionnement (dd/mm/yyyy);Repérage ID ;Cordon électrique 4 Alimentation électrique ;Cordon électrique 4 Disjoncteur ;Montage ;Sens de montage ;Style de montage ;LONG_NAME ;Lames installées ;Allée ;Cage ;Zone ;Hauteur (U);Largeur (m);Profondeur (m);Poids (kg);Synchronisé avec Gateway ;ID Système externe ;ID Système Asset ;ID Système Baie ;ID Système Châssis 
Equipements IT;;;SU919;2885508;Sun;SunFire V890;PC;J03;1;;;Serveurs;;SU919AOS;0642AN1464;0;2885508;M-0000202515;0;Puissance nominale et facteur;3.2;;;50;1.6;Monophasé;On;3;3;3;3;Non défini;Supply A;Non défini;;Supply A;Non défini;Non-connecté;;Supply A;Non défini;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;Non-connecté;Non défini;;J03:Slot 01;;;Avant;Pas de rotation;Monté(s) en baie;SU919;;;;;16;0.48;0.836;130.6;;0;798936-126608;798936-126594;
Equipements IT;;;DEMOCRITE;2656355;Sun;SunFire V100;PC;I03;38;;;Serveurs;;DEMOCRITE;CV22900701;0;2656355;M-1000035975;0;Puissance nominale et facteur;0.081;;;50;0.041;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;I03:Slot 38;;;Avant;Pas de rotation;Monté(s) en baie;DEMOCRITE;;;;;1;0.437;0.483;6;;0;798937-126811;798936-126723;
Equipements IT;;;LEUCIPPE;2656358;Sun;SunFire V100;PC;H03;38;;;Serveurs;;LEUCIPPE;CV24702307;0;2656358;M-1000036212;0;Puissance nominale et facteur;0.081;;;50;0.041;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;H03:Slot 38;;;Avant;Pas de rotation;Monté(s) en baie;LEUCIPPE;;;;;1;0.437;0.483;6;;0;798937-126945;798937-126870;
Equipements IT;;;SU888;2885019;Sun;SunFire V210;PC;F03;20;;;Serveurs;;SU888TOS;TM60510863;0;2885019;M-1000036974;0;Puissance nominale et facteur;0.411;;;50;0.206;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;F03:Slot 20;;;Avant;Pas de rotation;Monté(s) en baie;SU888;;;;;1;0.425;0.635;12;;0;798937-127056;798937-127004;
Equipements IT;;;SU846;2656367;Sun Microsystems;SunFire V440;PC;G03;5;;;Serveurs;;SU846AOS;0537AL5CEE;0;2656367;M-1000036964;0;Puissance nominale et facteur;1.052;;;50;0.526;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;G03:Slot 05;;;Avant;Pas de rotation;Monté(s) en baie;SU846;;;;;4;0.44;0.635;37;;0;798937-127169;798937-127151;
Equipements IT;;;SU844;2656366;Sun;SunFire V240;PC;G03;9;;;Serveurs;;SU844ADS;TN53720259;0;2656366;M-1000036962;0;Puissance nominale et facteur;0.48;;;50;0.24;Monophasé;On;2;2;2;2;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;G03:Slot 09;;;Avant;Pas de rotation;Monté(s) en baie;SU844;;;;;2;0.425;0.635;19;;0;798937-127176;798937-127151;
Equipements IT;;;SU851AOS;2656365;Sun;SunFire V210;PC;G03;11;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.411;;;50;0.206;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;G03:Slot 11;;;Avant;Pas de rotation;Monté(s) en baie;SU851AOS;;;;;1;0.425;0.635;12;;0;798937-127181;798937-127151;
Equipements IT;;;SU916;2885426;Sun;SunFire V210;PC;G03;28;;;Serveurs;;SU916TOS;TM64250338;0;2885426;M-0000202523;0;Puissance nominale et facteur;0.411;;;50;0.206;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;G03:Slot 28;;;Avant;Pas de rotation;Monté(s) en baie;SU916;;;;;1;0.425;0.635;12;;0;798937-127219;798937-127151;
Equipements IT;;;E03:Slot 32;2656373;Sun Microsystems;StorEdge 3500;PC;E03;32;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.424;;;50;0.212;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;E03:Slot 32;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;2;0.43;0.648;34.8;;0;798937-127371;798937-127295;
Equipements IT;;;SU820;2656372;Sun;SunFire V480;PC;E03;34;;;Serveurs;;SU820AOC;0441AN0135;0;2656372;M-1000036940;0;Puissance nominale et facteur;1.1;;;50;0.55;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;E03:Slot 34;;;Avant;Pas de rotation;Monté(s) en baie;SU820;;;;;5;0.446;0.61;3;;0;798937-127377;798937-127295;
Equipements IT;;;SU850ARS;2656376;Sun;SunFire V440;PC;D03;17;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.65;;;50;0.325;Monophasé;On;2;2;2;2;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;D03:Slot 17;;;Avant;Pas de rotation;Monté(s) en baie;SU850ARS;;;;;4;0.44;0.635;37;;0;798938-127481;798938-127439;
Equipements IT;;;SU920;2885413;Sun;SunFire V440;PC;D03;21;;;Serveurs;;SU920AOS;0633AL20BA;0;2885413;M-0000202519;0;Puissance nominale et facteur;0.65;;;50;0.325;Monophasé;On;2;2;2;2;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;D03:Slot 21;;;Avant;Pas de rotation;Monté(s) en baie;SU920;;;;;4;0.44;0.635;37;;0;798938-127488;798938-127439;
Equipements IT;;;SU921;2885414;Sun;SunFire V240;PC;D03;25;;;Serveurs;;SU921AOS;TN63010847;0;2885414;M-0000202509;0;Puissance nominale et facteur;0.48;;;50;0.24;Monophasé;On;2;2;2;2;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;D03:Slot 25;;;Avant;Pas de rotation;Monté(s) en baie;SU921;;;;;2;0.425;0.635;19;;0;798938-127495;798938-127439;
Equipements IT;;;SU922;2885412;Sun;SunFire V240;PC;D03;27;;;Serveurs;;SU922TOS;TN63010846;0;2885412;M-0000202512;0;Puissance nominale et facteur;0.48;;;50;0.24;Monophasé;On;2;2;2;2;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;D03:Slot 27;;;Avant;Pas de rotation;Monté(s) en baie;SU922;;;;;2;0.425;0.635;19;;0;798938-127500;798938-127439;
