1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Audit sur site;Notes;Asset_id to Add;Source d'information Asset_id;
Virtual Storage Platform DKC F710L-DECO;Server;Hitachi;;;;;;;P1;50813-1:Slot 01;13;Balai Clean;;;P150813-1:Slot 01;5-Clean Projet AIR22 Datacenter P1P2;Commun;Hitashi : No match;50813-1;1;Identifiable;M-0000731315;;;;;
Virtual Storage Platform DKC F710L-DECO;Server;Hitachi;;;;;;;P1;50813-1:Slot 15;13;Balai Clean;;;P150813-1:Slot 15;5-Clean Projet AIR22 Datacenter P1P2;Commun;Hitashi : No match;50813-1;15;Identifiable;M-0000731315;;;;;
Virtual Storage Platform DKC F710L-DECO;Server;Hitachi;;;;;;;P1;50813-2:Slot 01;13;Balai Clean;;;P150813-2:Slot 01;5-Clean Projet AIR22 Datacenter P1P2;Commun;Hitashi : No match;50813-2;1;Identifiable;M-0000731315;;;;;
Virtual Storage Platform DKC F710L-DECO;Server;Hitachi;;;;;;;P1;50813-2:Slot 15;13;Balai Clean;;;P150813-2:Slot 15;5-Clean Projet AIR22 Datacenter P1P2;Commun;Hitashi : No match;50813-2;15;Identifiable;M-0000731315;;;;;
Virtual Storage Platform DKC F710L-DECO;Server;Hitachi;;;;;;;P1;50813-2:Slot 29;13;Balai Clean;;;P150813-2:Slot 29;5-Clean Projet AIR22 Datacenter P1P2;Commun;Hitashi : No match;50813-2;29;Identifiable;M-0000731315;;;;;
KVM Switch;Other;APC;KEYBOARD;;;;;;P1;A29:Slot 23;1;;;;P1A29:Slot 23;6-Reste √É¬† traiter;Commun;NULL;A29;23;NULL;NULL;;;;;
14in OFF;Server;CRT Monitor;;;;;;;P1;A29:Slot 33;8;Balai Clean;;;P1A29:Slot 33;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;A29;33;NULL;NULL;;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD27:Slot 38;1;Balai Clean;;;P1AD27:Slot 38;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD27;38;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD27:Slot 40;1;Balai Clean;;;P1AD27:Slot 40;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD27;40;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD27:Slot 42;1;Balai Clean;;;P1AD27:Slot 42;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD27;42;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD28:Slot 36;1;Balai Clean;;;P1AD28:Slot 36;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD28;36;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD28:Slot 38;1;Balai Clean;;;P1AD28:Slot 38;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD28;38;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD28:Slot 40;1;Balai Clean;;;P1AD28:Slot 40;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD28;40;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;AD28:Slot 42;1;Balai Clean;;;P1AD28:Slot 42;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD28;42;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;Patch2;;;;;;P1;AD30:Slot 40;1;Balai Clean;;;P1AD30:Slot 40;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD30;40;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;Patch1;;;;;;P1;AD30:Slot 42;1;Balai Clean;;;P1AD30:Slot 42;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;AD30;42;Identifiable;NULL;patch panel;;;;
7315-CR3 Rack-mounted;Server;IBM;HMC1Z14_C2;;;;;;P1;AG12:Slot 27;1;Balai P1;P4;AE18:Slot 27;P1AG12:Slot 27;4-Projet AIR22 Datacenter P1P2;Commun;OK-POSITION:2;AG12;27;Identifiable;NULL;HMC1Z14C2, U 27 + 28 même equipement à 2U;Sur CMDB: CPU-C2-RENAULT-Z14-HMC | M-0000913353 / deuxième position en Retired HAL34 M-0000261486;M-0000913353;;
